id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
eyes,Eyes,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
f,F,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
face,Face,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
fall,Fall,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
family,Family,word,p1-u18,Family & People,p1-u18,Family & People,1,
far,Far,word,p1-u23,On the Move,p1-u23,On the Move,1,
fast,Fast,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
father,Father,word,p1-u18,Family & People,p1-u18,Family & People,1,
feel,Feel,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
few,Few,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
find,Find,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
fine,Fine,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
finger,Finger,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
fingerspell,Fingerspell,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
fish,Fish,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
five,Five,word,p1-u15,Numbers,p1-u15,Numbers,1,
flower,Flower,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
