id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
sweater,Sweater,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
sweep,Sweep,word,p1-u32,At Home,p1-u32,At Home,1,
t,T,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
table,Table,word,p1-u31,Furniture,p1-u31,Furniture,1,
tablet,Tablet,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
take,Take,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
talk,Talk,word,p1-u24,Everyday Actions,p1-u24;p1-u40,Everyday Actions;Time & Calendar,2,
talktoyoulater,Talk To You Later,phrase,p1-u40,Time & Calendar,p1-u40;p1-u71,Time & Calendar;Everyday Sayings,2,talk;you;later
tall,Tall,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
tea,Tea,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
teacher,Teacher,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
teenager,Teenager,word,p1-u18,Family & People,p1-u18,Family & People,1,
teeth,Teeth,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
tell,Tell,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
ten,Ten,word,p1-u15,Numbers,p1-u15,Numbers,1,
tennis,Tennis,word,p1-u65,Sports,p1-u65,Sports,1,
text,Text,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
thanksgiving,Thanksgiving,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
thankyou,Thank You,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
thankyouverymuch,Thank You Very Much,phrase,p1-u01,Getting Started,p1-u01,Getting Started,1,thankyou;very;much
that,That,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
their,Their,word,p1-u03,You & Me,p1-u03,You & Me,1,
there,There,word,p1-u23,On the Move,p1-u23,On the Move,1,
they,They,word,p1-u03,You & Me,p1-u03,You & Me,1,
think,Think,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
thirsty,Thirsty,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
three,Three,word,p1-u15,Numbers,p1-u15,Numbers,1,
thunder,Thunder,word,p1-u63,Weather,p1-u63,Weather,1,
thursday,Thursday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
tiger,Tiger,word,p1-u60,Animals,p1-u60,Animals,1,
tired,Tired,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
today,Today,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
toilet,Toilet,word,p1-u32,At Home,p1-u32,At Home,1,
tomato,Tomato,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
tomorrow,Tomorrow,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
tongue,Tongue,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
toothbrush,Toothbrush,word,p1-u32,At Home,p1-u32,At Home,1,
traffic,Traffic,word,p1-u56,Getting There,p1-u56,Getting There,1,
train,Train,word,p1-u56,Getting There,p1-u56,Getting There,1,
translate,Translate,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
travel,Travel,word,p1-u56,Getting There,p1-u56,Getting There,1,
tree,Tree,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
triple,Triple,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
truck,Truck,word,p1-u56,Getting There,p1-u56,Getting There,1,
try,Try,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
tuesday,Tuesday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
turn,Turn,word,p1-u23,On the Move,p1-u23,On the Move,1,
tv,Tv,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
twins,Twins,word,p1-u18,Family & People,p1-u18,Family & People,1,
two,Two,word,p1-u15,Numbers,p1-u15,Numbers,1,
u,U,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
uncle,Uncle,word,p1-u18,Family & People,p1-u18,Family & People,1,
understand,Understand,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
up,Up,word,p1-u23,On the Move,p1-u23,On the Move,1,
upload,Upload,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
use,Use,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
v,V,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
vacuum,Vacuum,word,p1-u32,At Home,p1-u32,At Home,1,
very,Very,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
video,Video,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
volleyball,Volleyball,word,p1-u65,Sports,p1-u65,Sports,1,
w,W,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
wait,Wait,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
walk,Walk,word,p1-u23,On the Move,p1-u23,On the Move,1,
wallet,Wallet,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
want,Want,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
wash,Wash,word,p1-u32,At Home,p1-u32,At Home,1,
washdishes,Wash Dishes,word,p1-u32,At Home,p1-u32,At Home,1,
watch,Watch,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
water,Water,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
we,We,word,p1-u03,You & Me,p1-u03,You & Me,1,
wednesday,Wednesday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
week,Week,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
weekend,Weekend,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
welcome,Welcome,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
what,What,word,p1-u05,Meet People,p1-u05;p1-u59,Meet People;Work Life,2,
whatareyoudoing,What Are You Doing?,phrase,p1-u05,Meet People,p1-u05;p1-u59,Meet People;Work Life,2,what;you;doing
whatdoesthatmean,What Does That Mean,phrase,p1-u05,Meet People,p1-u05,Meet People,1,what;that
whatisyourname,What's Your Name,phrase,p1-u05,Meet People,p1-u05,Meet People,1,what;your;name
whatisyournamesign,What's Your Name Sign?,phrase,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,what;your;namesign
whatsthat,What's That,phrase,p1-u05,Meet People,p1-u05,Meet People,1,what;that
when,When,word,p1-u05,Meet People,p1-u05,Meet People,1,
where,Where,word,p1-u05,Meet People,p1-u05;p1-u68,Meet People;Countries,2,
whereareyou,Where Are You?,phrase,p1-u05,Meet People,p1-u05,Meet People,1,where;you
whereareyoufrom,Where Are You From?,phrase,p1-u05,Meet People,p1-u05;p1-u68,Meet People;Countries,2,where;you;from
wherebathroom,Where Is The Bathroom,phrase,p1-u30,My Home,p1-u30,My Home,1,where;bathroom
which,Which,word,p1-u05,Meet People,p1-u05,Meet People,1,
white,White,word,p1-u27,Colors,p1-u27,Colors,1,
who,Who,word,p1-u05,Meet People,p1-u05,Meet People,1,
why,Why,word,p1-u05,Meet People,p1-u05,Meet People,1,
wind,Wind,word,p1-u63,Weather,p1-u63,Weather,1,
window,Window,word,p1-u31,Furniture,p1-u31,Furniture,1,
winter,Winter,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
with,With,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
without,Without,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
wolf,Wolf,word,p1-u60,Animals,p1-u60,Animals,1,
woman,Woman,word,p1-u18,Family & People,p1-u18,Family & People,1,
word,Word,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
work,Work,word,p1-u59,Work Life,p1-u59,Work Life,1,
worry,Worry,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
wow,Wow,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
wrapup,Wrap Up,phrase,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,bye;thankyou
write,Write,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
wrong,Wrong,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
x,X,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
y,Y,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
year,Year,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
yellow,Yellow,word,p1-u27,Colors,p1-u27,Colors,1,
yes,Yes,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
yesterday,Yesterday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
you,You,word,p1-u01,Getting Started,p1-u01;p1-u03;p1-u40;p1-u59;p1-u68,Getting Started;You & Me;Time & Calendar;Work Life;Countries,5,
your,Your,word,p1-u03,You & Me,p1-u03,You & Me,1,
yourewelcome,You're Welcome,phrase,p1-u01,Getting Started,p1-u01,Getting Started,1,your;welcome
yourself,Yourself,word,p1-u05,Meet People,p1-u05,Meet People,1,
z,Z,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
zero,Zero,word,p1-u15,Numbers,p1-u15,Numbers,1,
